distance;modulation level;modulation strength;seed;ber
2;1;25;1;0.0
2;2;25;1;0.08203125
2;3;25;1;0.14728682170542637
2;1;50;1;0.0
2;2;50;1;0.03125
2;3;50;1;0.13953488372093023
2;1;75;1;0.0
2;2;75;1;0.0078125
2;3;75;1;1
2;1;100;1;0.0
2;2;100;1;0.015625
2;3;100;1;1
2;1;125;1;0.0
2;2;125;1;1
2;3;125;1;1
4;1;25;1;0.15625
4;2;25;1;0.30078125
4;3;25;1;0.3488372093023256
4;1;50;1;0.0703125
4;2;50;1;0.20703125
4;3;50;1;0.26744186046511625
4;1;75;1;0.05078125
4;2;75;1;0.1796875
4;3;75;1;1
4;1;100;1;0.05078125
4;2;100;1;0.1875
4;3;100;1;1
4;1;125;1;0.05859375
4;2;125;1;1
4;3;125;1;1
8;1;25;1;0.44140625
8;2;25;1;0.4609375
8;3;25;1;0.4573643410852713
8;1;50;1;0.390625
8;2;50;1;0.44921875
8;3;50;1;0.5310077519379846
8;1;75;1;0.44921875
8;2;75;1;0.50390625
8;3;75;1;1
8;1;100;1;0.41796875
8;2;100;1;0.3828125
8;3;100;1;1
8;1;125;1;0.39453125
8;2;125;1;1
8;3;125;1;1
2;1;25;4;0.0
2;2;25;4;0.046875
2;1;25;4;0.00390625
2;2;25;4;0.06640625
2;3;25;4;0.18992248062015504
2;1;50;4;0.0
2;2;50;4;0.01953125
2;3;50;4;0.1434108527131783
2;1;75;4;0.00390625
2;2;75;4;0.0234375
2;3;75;4;1
2;1;100;4;0.0
2;2;100;4;1
2;3;100;4;1
2;1;125;4;0.0
2;2;125;4;1
4;1;25;4;0.1015625
4;2;25;4;0.359375
4;3;25;4;0.32558139534883723
4;1;50;4;0.04296875
4;2;50;4;0.21875
4;3;50;4;0.34108527131782945
4;1;75;4;0.10546875
4;2;75;4;0.1875
4;3;75;4;1
4;1;100;4;0.04296875
4;2;100;4;1
4;3;100;4;1
4;1;125;4;0.0234375
4;2;125;4;1
8;1;25;4;0.4609375
8;2;25;4;0.515625
8;3;25;4;0.3875968992248062
8;1;50;4;0.4375
8;2;50;4;0.53515625
8;3;50;4;0.46511627906976744
8;1;75;4;0.46484375
8;2;75;4;0.50390625
8;3;75;4;1
8;1;100;4;0.4375
8;2;100;4;1
8;3;100;4;1
8;1;125;4;0.4375
8;2;125;4;1
2;1;25;3;0.0
2;2;25;3;0.0625
2;3;25;3;0.17829457364341086
2;1;50;3;0.0
2;2;50;3;0.00390625
2;3;50;3;1
2;1;75;3;0.0
2;2;75;3;1
2;3;75;3;1
2;1;100;3;0.0
2;2;100;3;1
2;3;100;3;1
2;1;125;3;1
4;1;25;3;0.125
4;2;25;3;0.27734375
4;3;25;3;0.29844961240310075
4;1;50;3;0.08203125
4;2;50;3;0.20703125
4;3;50;3;1
4;1;75;3;0.05859375
4;2;75;3;1
4;3;75;3;1
4;1;100;3;1
4;2;100;3;1
4;3;100;3;1
4;1;125;3;1
8;1;25;3;0.48046875
8;2;25;3;0.453125
8;3;25;3;0.4883720930232558
8;1;50;3;0.47265625
8;2;50;3;0.48828125
8;3;50;3;1
8;1;75;3;0.43359375
8;2;75;3;1
8;3;75;3;1
8;1;100;3;0.43359375
8;2;100;3;1
8;3;100;3;1
8;1;125;3;1
2;1;25;2;0.0
2;2;25;2;0.0546875
2;3;25;2;0.20930232558139536
2;1;50;2;0.0
2;2;50;2;0.0390625
2;3;50;2;0.12015503875968993
2;1;75;2;0.0
2;2;75;2;0.0078125
2;3;75;2;1
2;1;100;2;0.0
4;1;25;2;0.22265625
4;2;25;2;0.25390625
4;3;25;2;0.29457364341085274
4;1;50;2;0.125
4;2;50;2;0.2421875
4;3;50;2;0.39147286821705424
4;1;75;2;0.02734375
4;2;75;2;0.2578125
4;3;75;2;1
8;1;25;2;0.3984375
8;2;25;2;0.40234375
8;3;25;2;0.5193798449612403
8;1;50;2;0.44140625
8;2;50;2;0.48046875
8;3;50;2;0.44573643410852715
8;1;75;2;0.39453125
8;2;75;2;0.52734375
8;3;75;2;1
8;1;100;2;0.4375
